autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track2-MSEloss-latent2-centerimg-nocrop,178,103,178,nan,nan
track2-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-UNC,111,53,105,109.2323,131.4743
track2-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,90,34,90,58.2898,107.4874
track2-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-CTE,119,55,114,137.692,164.0118
track2-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,120,70,114,92.3323,124.5148
track2-MSEloss-latent2-allimg-nocrop,173,88,173,nan,nan
track2-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-UNC,84,33,84,99.2243,122.1072
track2-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-UNC,95,28,95,56.4179,88.1665
track2-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-CTE,236,142,230,147.8942,163.5015
track2-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-CTE,90,62,90,102.2568,128.9048
track2-VAEloss-latent2-centerimg-nocrop,174,88,174,nan,nan
track2-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-UNC,105,32,105,70.6065,109.734
track2-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,75,27,75,67.678,101.844
track2-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-CTE,48,22,47,120.4486,148.2041
track2-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,60,23,60,85.8152,126.8098
track2-VAEloss-latent2-allimg-nocrop,169,85,169,nan,nan
track2-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-UNC,86,22,86,79.8028,108.877
track2-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-UNC,76,24,76,48.1004,75.3418
track2-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-CTE,281,149,281,160.5331,149.54
track2-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-CTE,73,40,73,90.9199,110.7077
