autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track3-MSEloss-latent8-centerimg-nocrop,146,146,146,nan,nan
track3-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-UNC,4,4,4,46.4188,63.6271
track3-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,0,0,0,46.8629,65.7369
track3-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-CTE,1,1,1,46.2053,69.4434
track3-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,0,0,0,46.9363,65.6113
track3-MSEloss-latent8-allimg-nocrop,149,149,149,nan,nan
track3-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-UNC,40,40,40,41.4453,62.5194
track3-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-UNC,4,4,4,31.9223,55.7352
track3-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-CTE,24,24,24,41.8765,66.1864
track3-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-CTE,4,4,4,33.8142,57.2187
track3-VAEloss-latent8-centerimg-nocrop,121,121,121,nan,nan
track3-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-UNC,1,1,1,41.1176,58.1728
track3-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,0,0,0,34.3089,56.5146
track3-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-CTE,8,8,8,41.6116,60.5175
track3-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,0,0,0,34.1409,57.0465
track3-VAEloss-latent8-allimg-nocrop,136,136,136,nan,nan
track3-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-UNC,4,4,4,36.346,50.2696
track3-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-UNC,1,1,1,29.9052,45.9757
track3-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-CTE,12,12,12,40.4267,58.407
track3-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-CTE,2,2,2,29.8178,46.032
