autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track1-MSEloss-latent16-centerimg-nocrop,121,121,113,nan,nan
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-UNC,1,1,1,58.7311,78.7433
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-5X-UNC,10,10,5,98.5034,109.0301
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-10X-UNC,28,28,19,168.4158,126.1359
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,0,0,0,66.1268,83.2831
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-CTE,2,2,2,70.0021,90.7258
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-5X-CTE,12,12,7,109.8062,109.9902
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-10X-CTE,33,33,20,172.0316,123.0768
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,8,8,0,59.1712,81.3021
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-COM,7,7,2,67.9884,90.0939
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-5X-COM,18,18,7,103.9304,110.2961
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-10X-COM,37,37,20,170.8182,124.7899
track1-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-COM,8,8,0,67.1917,83.9783
track1-MSEloss-latent16-centerimg-usecrop,116,116,116,nan,nan
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-2X-UNC,98,98,98,21.7847,16.4795
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-5X-UNC,115,115,115,14.3209,13.5904
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-10X-UNC,144,144,144,10.0978,9.9065
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-JSEP-UNC,117,117,117,10.7396,12.0772
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-2X-CTE,115,115,115,14.1885,14.2548
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-5X-CTE,128,128,128,13.023,13.0152
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-10X-CTE,173,173,173,8.5052,8.9286
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-JSEP-CTE,114,114,114,12.0956,13.7804
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-2X-COM,111,111,111,15.3238,14.6621
track1-MSEloss-latent16-centerimg-usecrop-CI-RETRAINED-5X-COM,121,121,121,13.3121,13.5815
