autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track2-MSEloss-latent4-centerimg-nocrop,183,101,183,nan,nan
track2-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-UNC,90,22,90,50.5582,79.5311
track2-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,64,5,64,35.9791,69.8514
track2-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-CTE,58,49,58,69.6682,103.198
track2-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,27,22,27,47.165,80.5729
track2-MSEloss-latent4-allimg-nocrop,211,103,211,nan,nan
track2-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-UNC,223,92,223,66.4896,87.6943
track2-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-UNC,137,32,137,33.8639,60.6396
track2-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-CTE,251,138,251,88.8629,131.2818
track2-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-CTE,50,35,50,57.1259,88.4948
track2-VAEloss-latent4-centerimg-nocrop,129,50,129,nan,nan
track2-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-UNC,54,7,54,35.1908,51.7787
track2-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,56,11,56,29.3008,42.8865
track2-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-CTE,14,2,14,69.3465,103.7339
track2-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,27,13,27,51.0463,88.2231
track2-VAEloss-latent4-allimg-nocrop,148,75,148,nan,nan
track2-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-UNC,74,25,74,56.0484,74.6431
track2-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-UNC,61,14,61,35.6724,58.9948
track2-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-CTE,102,72,102,79.1645,107.8014
track2-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-CTE,26,18,26,50.2119,83.0682

