autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-JSEP-CTE,127,127,127,21.3945,19.7512
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-2X-COM,115,115,115,13.535,16.9227
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-5X-COM,122,122,122,12.1176,9.7493
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-10X-COM,146,146,146,7.3871,6.4216
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-JSEP-COM,130,130,130,20.6184,17.6817
track1-MSEloss-latent8-allimg-nocrop,88,88,76,nan,nan
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-UNC,3,3,1,66.2269,83.3307
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-5X-UNC,29,29,25,100.0161,112.1439
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-10X-UNC,74,74,68,144.7965,134.1275
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-UNC,1,1,1,40.2005,69.7668
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-CTE,4,4,0,59.6608,86.2774
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-5X-CTE,18,18,12,84.293,105.602
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-10X-CTE,45,45,31,115.3318,127.4356
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-CTE,13,13,1,37.0832,66.2892
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-COM,18,18,0,57.2987,85.6917
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-5X-COM,31,31,12,80.4795,106.0655
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-10X-COM,53,53,32,120.2143,129.6567
track1-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-COM,13,13,1,36.298,65.6172
track1-MSEloss-latent8-allimg-usecrop,109,109,109,nan,nan
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-2X-UNC,109,109,109,7.9335,7.4713
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-5X-UNC,102,102,102,12.0452,13.1305
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-10X-UNC,117,117,117,15.3761,13.601
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-JSEP-UNC,109,109,109,4.389,5.0962
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-2X-CTE,107,107,107,5.2385,4.6302
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-5X-CTE,110,110,110,5.9601,5.1556
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-10X-CTE,119,119,119,6.5393,6.1851
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-JSEP-CTE,109,109,109,6.5472,7.3004
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-2X-COM,107,107,107,5.6494,5.2411
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-5X-COM,107,107,107,6.4523,6.7141
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-10X-COM,119,119,119,8.3459,8.7034
track1-MSEloss-latent8-allimg-usecrop-CI-RETRAINED-JSEP-COM,109,109,109,3.985,4.262
track1-VAEloss-latent8-centerimg-nocrop,94,94,82,nan,nan
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-UNC,2,2,2,34.1122,52.7534
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-5X-UNC,9,9,6,73.2084,92.0183
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-10X-UNC,17,17,13,122.9773,121.494
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,2,2,2,26.5902,47.8043
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-CTE,2,2,2,35.0053,58.384
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-5X-CTE,10,10,5,57.0307,85.8331
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-10X-CTE,25,25,7,83.3897,112.5953
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,13,13,2,25.3101,46.158
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-COM,13,13,2,34.2923,58.548
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-5X-COM,20,20,5,57.0162,87.6756
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-10X-COM,26,26,8,78.326,111.088
track1-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-COM,13,13,2,26.0427,46.5274
track1-VAEloss-latent8-centerimg-usecrop,111,111,111,nan,nan
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-2X-UNC,114,114,113,7.1311,6.4683
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-5X-UNC,126,126,120,9.975,9.8837
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-10X-UNC,129,129,126,12.5792,12.6627
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-JSEP-UNC,119,119,118,8.7136,7.4659
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-2X-CTE,123,123,119,9.9519,7.9775
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-5X-CTE,128,128,121,8.3516,8.8993
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-10X-CTE,126,126,123,11.045,11.2397
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-JSEP-CTE,119,119,118,8.7377,7.3136
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-2X-COM,124,124,119,9.6229,7.9112
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-5X-COM,128,128,121,8.1014,8.7168
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-10X-COM,127,127,123,9.8381,10.2303
track1-VAEloss-latent8-centerimg-usecrop-CI-RETRAINED-JSEP-COM,119,119,118,9.1019,6.6958
track1-VAEloss-latent8-allimg-nocrop,90,90,76,nan,nan
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-UNC,2,2,2,48.2799,65.8608
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-5X-UNC,9,9,9,99.0144,103.891
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-10X-UNC,57,57,55,148.8471,127.3419
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-UNC,1,1,1,31.5852,57.4091
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-CTE,0,0,0,50.4078,75.5242
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-5X-CTE,28,28,13,66.306,97.0605
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-10X-CTE,52,52,31,111.7296,122.6846
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-CTE,13,13,1,29.9107,56.1745
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-COM,15,15,0,47.4445,75.0084
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-5X-COM,29,29,9,66.3689,96.3671
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-10X-COM,48,48,27,88.6673,117.6606
track1-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-COM,13,13,1,30.0382,56.1817
track1-VAEloss-latent8-allimg-usecrop,105,105,105,nan,nan
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-2X-UNC,111,111,111,10.4239,8.3223
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-5X-UNC,126,126,126,10.3843,8.1533
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-10X-UNC,154,154,154,10.2226,7.7326
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-JSEP-UNC,108,108,108,5.3802,5.1395
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-2X-CTE,108,108,108,7.8521,6.8667
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-5X-CTE,119,119,119,9.4382,8.3344
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-10X-CTE,157,157,157,10.944,9.2316
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-JSEP-CTE,108,108,108,5.2701,5.6145
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-2X-COM,108,108,108,7.4223,6.4095
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-5X-COM,111,111,111,9.24,8.0095
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-10X-COM,131,131,131,9.616,8.0225
track1-VAEloss-latent8-allimg-usecrop-CI-RETRAINED-JSEP-COM,108,108,108,5.3962,5.9453
