autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track1-MSEloss-latent8-centerimg-nocrop,133,133,122,nan,nan
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-UNC,3,3,2,57.4088,79.1138
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-5X-UNC,21,21,14,100.8933,114.3329
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-10X-UNC,54,54,46,168.0866,133.8901
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,1,1,1,65.6908,83.7976
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-CTE,4,4,0,70.9718,92.2149
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-5X-CTE,20,20,7,101.141,114.2623
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-10X-CTE,50,50,33,162.7599,132.1063
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,13,13,1,64.2044,82.7615
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-COM,14,14,2,70.926,92.9675
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-5X-COM,24,24,7,102.3484,115.857
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-10X-COM,55,55,36,160.8022,133.7197
track1-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-COM,13,13,1,61.9587,82.4103
track1-MSEloss-latent8-centerimg-usecrop,117,117,117,nan,nan
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-2X-UNC,98,98,98,27.5839,22.1701
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-5X-UNC,108,108,108,18.5326,16.6534
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-10X-UNC,135,135,135,9.4629,8.1335
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-JSEP-UNC,127,127,127,21.1771,21.8359
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-2X-CTE,112,112,112,13.2272,15.5086
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-5X-CTE,121,121,121,11.3422,9.532
track1-MSEloss-latent8-centerimg-usecrop-CI-RETRAINED-10X-CTE,137,137,137,7.9802,7.0272
