autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track3-MSEloss-latent2-centerimg-nocrop,131,131,131,nan,nan
track3-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-UNC,69,69,69,49.8217,83.7798
track3-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,51,51,51,37.2984,71.5142
track3-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-CTE,56,56,56,55.9674,88.499
track3-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,65,65,65,37.4705,74.4355
track3-MSEloss-latent2-allimg-nocrop,138,138,138,nan,nan
track3-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-UNC,105,105,105,80.0014,125.962
track3-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-UNC,0,0,0,49.167,100.5052
track3-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-CTE,30,30,30,69.3786,124.5963
track3-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-CTE,1,1,1,50.7753,103.9492
track3-VAEloss-latent2-centerimg-nocrop,111,111,111,nan,nan
track3-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-UNC,98,98,98,43.1494,75.2907
track3-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,66,66,66,34.8163,61.3666
track3-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-CTE,87,87,87,42.7691,74.8173
track3-VAEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,76,76,76,43.6965,69.9446
track3-VAEloss-latent2-allimg-nocrop,120,120,120,nan,nan
track3-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-UNC,151,151,151,67.6481,89.7086
track3-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-UNC,80,80,80,58.8903,79.7075
track3-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-CTE,117,117,117,79.0987,105.431
track3-VAEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-CTE,73,73,73,54.6267,77.6252
