autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track2-MSEloss-latent16-centerimg-nocrop,201,91,198,nan,nan
track2-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-UNC,50,6,50,56.5444,88.4712
track2-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,44,1,44,41.7575,81.6096
track2-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-CTE,3,1,3,63.2702,101.961
track2-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,6,1,6,54.6218,97.5344
track2-MSEloss-latent16-allimg-nocrop,154,80,154,nan,nan
track2-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-UNC,91,16,91,27.4272,51.6095
track2-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-UNC,51,0,51,15.3706,35.4445
track2-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-CTE,39,12,39,37.9146,65.1999
track2-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-CTE,10,3,10,23.3454,46.7559
track2-VAEloss-latent16-centerimg-nocrop,190,87,190,nan,nan
track2-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-UNC,32,0,32,43.296,73.2787
track2-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,30,0,30,30.334,60.8527
track2-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-CTE,0,0,0,50.0764,85.8169
track2-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,0,0,0,40.1039,77.4892
track2-VAEloss-latent16-allimg-nocrop,189,91,189,nan,nan
track2-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-UNC,77,13,77,22.7941,43.9919
track2-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-UNC,45,0,45,19.5584,34.0427
track2-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-CTE,21,13,21,33.5891,56.2859
track2-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-CTE,2,2,2,26.539,44.3592
