autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track1-MSEloss-latent4-centerimg-nocrop,96,96,81,nan,nan
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-UNC,2,2,2,46.1983,66.9741
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-5X-UNC,21,21,14,97.3477,107.9146
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-10X-UNC,53,53,46,139.6707,132.5052
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,1,1,1,48.6092,67.7833
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-CTE,1,1,1,55.4009,78.7965
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-5X-CTE,21,21,3,83.8984,105.95
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-10X-CTE,35,35,14,114.5769,129.1321
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,12,12,1,41.1101,63.4087
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-COM,13,13,0,56.4579,80.6767
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-5X-COM,24,24,3,91.0756,108.7578
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-10X-COM,39,39,17,112.2753,128.3429
track1-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-COM,12,12,1,40.9168,63.5393
track1-MSEloss-latent4-centerimg-usecrop,120,120,120,nan,nan
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-2X-UNC,119,119,119,5.7368,4.9128
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-5X-UNC,124,124,123,6.3322,4.7916
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-10X-UNC,146,146,138,6.9796,5.584
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-JSEP-UNC,122,122,122,4.2465,3.3624
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-2X-CTE,124,124,124,8.8131,6.4103
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-5X-CTE,130,130,127,5.7954,4.0576
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-10X-CTE,154,154,146,6.9521,5.3983
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-JSEP-CTE,122,122,122,4.8465,3.6946
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-2X-COM,121,121,121,6.7007,5.3394
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-5X-COM,137,137,133,5.2428,3.7426
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-10X-COM,176,173,166,6.6278,5.3935
track1-MSEloss-latent4-centerimg-usecrop-CI-RETRAINED-JSEP-COM,122,122,122,4.1011,2.9365
track1-MSEloss-latent4-allimg-nocrop,91,91,77,nan,nan
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-UNC,38,38,32,63.9192,82.4647
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-5X-UNC,77,77,71,130.06,128.7845
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-10X-UNC,138,138,130,180.9879,153.5364
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-UNC,19,19,13,42.95,69.8877
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-CTE,29,29,15,56.3881,87.8132
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-5X-CTE,47,47,30,94.7998,121.7508
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-10X-CTE,64,64,48,150.4609,149.8295
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-CTE,30,30,14,35.1432,65.2894
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-COM,37,37,17,58.2363,90.478
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-5X-COM,61,61,40,118.3421,128.7433
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-10X-COM,75,75,53,160.3611,150.4747
track1-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-COM,31,31,15,33.892,63.9209
track1-MSEloss-latent4-allimg-usecrop,112,112,112,nan,nan
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-2X-UNC,104,104,104,11.9374,12.149
