autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-5X-UNC,120,120,119,12.6534,13.27
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-10X-UNC,126,126,122,17.0913,17.597
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-JSEP-UNC,115,115,115,12.4187,11.5437
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-2X-CTE,117,117,117,11.2499,11.2225
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-5X-CTE,124,124,121,13.4684,12.1249
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-10X-CTE,126,126,122,15.494,13.6916
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-JSEP-CTE,117,117,117,17.0612,14.019
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-2X-COM,117,117,117,13.8033,14.5347
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-5X-COM,122,122,121,14.2127,13.4937
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-10X-COM,124,124,121,18.0349,17.1459
track1-MSEloss-latent4-allimg-usecrop-CI-RETRAINED-JSEP-COM,114,114,114,15.3495,14.6388
track1-VAEloss-latent4-centerimg-nocrop,103,103,82,nan,nan
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-UNC,11,11,11,46.5817,59.0132
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-5X-UNC,62,62,62,93.8497,104.6897
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-10X-UNC,109,104,108,180.9915,125.8708
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,6,6,6,32.9308,53.2815
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-CTE,25,25,17,46.8009,69.9059
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-5X-CTE,66,66,51,90.605,104.7513
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-10X-CTE,117,102,99,156.9876,131.5794
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,20,20,7,32.1177,54.5816
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-COM,33,33,18,46.9241,71.0762
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-5X-COM,61,61,45,87.2099,105.2657
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-10X-COM,102,88,84,164.827,129.4129
track1-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-COM,19,19,6,30.6117,54.0903
track1-VAEloss-latent4-centerimg-usecrop,108,108,108,nan,nan
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-2X-UNC,121,121,120,11.3556,8.4419
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-5X-UNC,144,144,141,17.8154,12.3162
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-10X-UNC,174,169,166,15.9729,14.7593
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-JSEP-UNC,147,145,146,9.5584,8.6011
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-2X-CTE,141,141,137,14.7045,11.6942
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-5X-CTE,166,164,153,14.6133,11.706
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-10X-CTE,162,159,152,15.7808,15.2029
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-JSEP-CTE,152,150,150,9.8219,8.7981
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-2X-COM,142,142,137,14.1435,12.0417
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-5X-COM,138,137,134,17.5844,15.6828
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-10X-COM,147,145,140,21.423,19.8407
track1-VAEloss-latent4-centerimg-usecrop-CI-RETRAINED-JSEP-COM,153,151,150,8.9669,7.4346
track1-VAEloss-latent4-allimg-nocrop,120,120,105,nan,nan
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-UNC,36,36,30,63.7547,66.6469
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-5X-UNC,54,54,54,118.3145,108.2497
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-10X-UNC,125,110,125,181.1566,124.8007
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-UNC,2,2,2,39.2057,55.9458
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-CTE,41,41,27,69.874,79.7427
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-5X-CTE,84,84,63,110.2496,116.1865
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-10X-CTE,155,140,130,194.1735,131.2774
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-CTE,24,24,7,40.243,58.4831
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-COM,53,53,33,74.5036,82.6152
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-5X-COM,88,88,66,114.1223,117.266
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-10X-COM,144,129,118,195.7833,131.5817
track1-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-COM,25,25,8,40.6426,58.9818
track1-VAEloss-latent4-allimg-usecrop,106,106,106,nan,nan
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-2X-UNC,117,117,117,10.7272,8.1808
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-5X-UNC,120,120,120,20.647,19.0632
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-10X-UNC,171,171,171,23.0531,20.2398
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-JSEP-UNC,115,115,115,6.4428,4.9261
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-2X-CTE,116,116,116,10.732,9.1704
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-5X-CTE,116,116,116,17.0781,16.5282
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-10X-CTE,140,140,140,21.229,19.8005
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-JSEP-CTE,115,115,115,7.4134,5.4312
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-2X-COM,115,115,115,10.4069,8.6338
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-5X-COM,122,122,122,18.8902,16.8523
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-10X-COM,236,236,235,26.7484,21.8558
track1-VAEloss-latent4-allimg-usecrop-CI-RETRAINED-JSEP-COM,115,115,115,8.7172,5.8916
