autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track3-MSEloss-latent16-centerimg-nocrop,117,117,117,nan,nan
track3-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-UNC,14,14,14,36.2638,51.9125
track3-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,4,4,4,33.1944,52.0663
track3-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-CTE,10,10,10,37.2633,55.6177
track3-MSEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,2,2,2,32.5308,51.5554
track3-MSEloss-latent16-allimg-nocrop,123,123,123,nan,nan
track3-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-UNC,22,22,22,27.6,47.0197
track3-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-UNC,0,0,0,23.3811,41.1686
track3-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-CTE,12,12,12,28.7381,48.7109
track3-MSEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-CTE,0,0,0,23.7867,41.7162
track3-VAEloss-latent16-centerimg-nocrop,143,143,143,nan,nan
track3-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-UNC,2,2,2,41.669,57.6473
track3-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,0,0,0,37.0793,57.3252
track3-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-2X-CTE,2,2,2,42.3109,60.4222
track3-VAEloss-latent16-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,0,0,0,35.2333,56.1968
track3-VAEloss-latent16-allimg-nocrop,106,106,106,nan,nan
track3-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-UNC,13,13,13,34.7356,50.4921
track3-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-UNC,1,1,1,28.3152,44.3769
track3-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-2X-CTE,0,0,0,33.1705,51.1298
track3-VAEloss-latent16-allimg-nocrop-CI-RETRAINED-JSEP-CTE,1,1,1,28.7915,44.7982
