autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track3-MSEloss-latent4-centerimg-nocrop,157,157,157,nan,nan
track3-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-UNC,35,35,35,59.4165,79.7245
track3-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,13,13,13,44.4974,71.0465
track3-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-CTE,9,9,9,57.2846,80.9063
track3-MSEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,11,11,11,43.2999,70.3448
track3-MSEloss-latent4-allimg-nocrop,156,156,156,nan,nan
track3-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-UNC,197,197,197,87.4974,112.4104
track3-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-UNC,90,90,90,63.417,95.3778
track3-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-CTE,173,173,173,83.3237,114.6401
track3-MSEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-CTE,92,92,92,65.7795,96.9749
track3-VAEloss-latent4-centerimg-nocrop,126,126,126,nan,nan
track3-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-UNC,0,0,0,42.6618,55.2209
track3-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,4,4,4,32.9502,47.5742
track3-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-2X-CTE,2,2,2,45.1147,60.7056
track3-VAEloss-latent4-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,2,2,2,33.3919,48.139
track3-VAEloss-latent4-allimg-nocrop,154,154,154,nan,nan
track3-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-UNC,311,311,311,114.9741,111.3751
track3-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-UNC,124,124,124,74.5982,97.8918
track3-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-2X-CTE,232,232,232,121.0015,124.8268
track3-VAEloss-latent4-allimg-nocrop-CI-RETRAINED-JSEP-CTE,122,122,122,79.5966,98.4447

