autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track1-MSEloss-latent2-centerimg-nocrop,106,106,82,nan,nan
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-UNC,44,44,43,38.5377,57.5009
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-5X-UNC,201,201,179,139.2487,100.9499
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-10X-UNC,259,259,232,173.2635,123.2885
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,39,39,37,22.7946,36.4751
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-CTE,48,48,31,37.605,56.5756
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-5X-CTE,82,71,61,88.416,96.8884
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-10X-CTE,173,159,139,139.9383,128.3121
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,59,59,39,24.8641,37.0369
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-2X-COM,51,51,30,43.9501,63.4405
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-5X-COM,45,45,21,94.3387,97.0833
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-10X-COM,145,145,112,175.5281,126.8225
track1-MSEloss-latent2-centerimg-nocrop-CI-RETRAINED-JSEP-COM,57,57,38,24.1375,35.8713
track1-MSEloss-latent2-centerimg-usecrop,118,118,118,nan,nan
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-2X-UNC,120,120,120,11.2173,10.2056
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-5X-UNC,143,143,135,14.5513,13.3057
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-10X-UNC,211,211,197,20.154,17.2745
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-JSEP-UNC,119,119,119,5.0312,4.5352
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-2X-CTE,124,124,121,7.9781,8.402
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-5X-CTE,159,159,148,17.5791,14.5023
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-10X-CTE,247,247,229,16.2346,17.1539
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-JSEP-CTE,120,120,120,3.8484,3.5318
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-2X-COM,120,120,118,7.4557,7.9122
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-5X-COM,166,166,155,17.4739,14.3954
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-10X-COM,248,248,231,15.3502,17.9171
track1-MSEloss-latent2-centerimg-usecrop-CI-RETRAINED-JSEP-COM,120,120,120,3.0925,2.7105
track1-MSEloss-latent2-allimg-nocrop,118,118,94,nan,nan
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-UNC,155,155,142,104.6793,96.8234
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-5X-UNC,265,262,252,140.9819,125.49
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-10X-UNC,306,291,302,196.272,142.896
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-UNC,26,26,17,42.8549,62.4472
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-2X-CTE,26,26,16,73.0821,90.3491
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-5X-CTE,72,72,57,107.5952,113.2564
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-10X-CTE,126,126,101,181.7172,130.571
track1-MSEloss-latent2-allimg-nocrop-CI-RETRAINED-JSEP-CTE,34,34,13,42.6725,67.4231
